,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
236,21,user1616080404053,pie,78,15.0,63.0,63.125,5.980139578,5.980139578
238,23,user1616080404053,pie,80,5.0,75.0,75.125,6.231221181,6.231221181
244,5,user1616085312200,pie,19,20.0,1.0,1.125,0.1699250014,0.1699250014
249,10,user1616085312200,pie,59,70.0,11.0,11.125,3.475733431,3.475733431
250,11,user1616085312200,pie,5,10.0,5.0,5.125,2.357552005,2.357552005
258,19,user1616085312200,pie,100,100.0,0.0,0.125,-3.0,0.0
268,5,user1616086256978,pie,66,85.0,19.0,19.125,4.257387843,4.257387843
270,7,user1616086256978,pie,95,100.0,5.0,5.125,2.357552005,2.357552005
273,10,user1616086256978,pie,75,75.0,0.0,0.125,-3.0,0.0
280,17,user1616086256978,pie,80,80.0,0.0,0.125,-3.0,0.0
290,3,user1616090223946,pie,15,20.0,5.0,5.125,2.357552005,2.357552005
303,16,user1616090223946,pie,24,20.0,4.0,4.125,2.044394119,2.044394119
305,18,user1616090223946,pie,85,80.0,5.0,5.125,2.357552005,2.357552005
306,19,user1616090223946,pie,19,20.0,1.0,1.125,0.1699250014,0.1699250014
314,3,user1616090648175,pie,50,50.0,0.0,0.125,-3.0,0.0
325,14,user1616090648175,pie,69,65.0,4.0,4.125,2.044394119,2.044394119
331,20,user1616090648175,pie,39,30.0,9.0,9.125,3.189824559,3.189824559
335,24,user1616090648175,pie,79,80.0,1.0,1.125,0.1699250014,0.1699250014
338,3,user1616091192811,pie,92,96.0,4.0,4.125,2.044394119,2.044394119
339,4,user1616091192811,pie,45,45.0,0.0,0.125,-3.0,0.0
342,7,user1616091192811,pie,51,50.0,1.0,1.125,0.1699250014,0.1699250014
348,13,user1616091192811,pie,76,45.0,31.0,31.125,4.960001932,4.960001932
368,9,user1616096193330,pie,52,50.0,2.0,2.125,1.087462841,1.087462841
369,10,user1616096193330,pie,55,40.0,15.0,15.125,3.918863237,3.918863237
370,11,user1616096193330,pie,9,10.0,1.0,1.125,0.1699250014,0.1699250014
371,12,user1616096193330,pie,92,95.0,3.0,3.125,1.64385619,1.64385619
398,15,user1616097035301,pie,21,27.0,6.0,6.125,2.614709844,2.614709844
402,19,user1616097035301,pie,28,23.0,5.0,5.125,2.357552005,2.357552005
405,22,user1616097035301,pie,85,96.0,11.0,11.125,3.475733431,3.475733431
406,23,user1616097035301,pie,13,18.0,5.0,5.125,2.357552005,2.357552005
415,8,user1616098486672,pie,68,75.0,7.0,7.125,2.832890014,2.832890014
421,14,user1616098486672,pie,34,40.0,6.0,6.125,2.614709844,2.614709844
422,15,user1616098486672,pie,52,50.0,2.0,2.125,1.087462841,1.087462841
431,24,user1616098486672,pie,40,30.0,10.0,10.125,3.339850003,3.339850003
440,9,user1616098952363,pie,60,25.0,35.0,35.125,5.13442632,5.13442632
446,15,user1616098952363,pie,90,100.0,10.0,10.125,3.339850003,3.339850003
452,21,user1616098952363,pie,40,33.0,7.0,7.125,2.832890014,2.832890014
454,23,user1616098952363,pie,12,10.0,2.0,2.125,1.087462841,1.087462841
458,3,user1616108555075,pie,64,45.0,19.0,19.125,4.257387843,4.257387843
462,7,user1616108555075,pie,62,60.0,2.0,2.125,1.087462841,1.087462841
474,19,user1616108555075,pie,72,80.0,8.0,8.125,3.022367813,3.022367813
478,23,user1616108555075,pie,67,60.0,7.0,7.125,2.832890014,2.832890014
482,3,user1616169032359,pie,44,50.0,6.0,6.125,2.614709844,2.614709844
488,9,user1616169032359,pie,80,75.0,5.0,5.125,2.357552005,2.357552005
490,11,user1616169032359,pie,18,18.75,0.75,0.875,-0.1926450779,0.0
492,13,user1616169032359,pie,46,50.0,4.0,4.125,2.044394119,2.044394119
513,10,user1616169203397,pie,83,10.0,73.0,73.125,6.192292814,6.192292814
518,15,user1616169203397,pie,52,25.0,27.0,27.125,4.761551232,4.761551232
524,21,user1616169203397,pie,65,70.0,5.0,5.125,2.357552005,2.357552005
525,22,user1616169203397,pie,62,50.0,12.0,12.125,3.599912842,3.599912842
529,2,user1616169200343,pie,62,50.0,12.0,12.125,3.599912842,3.599912842
541,14,user1616169200343,pie,97,100.0,3.0,3.125,1.64385619,1.64385619
544,17,user1616169200343,pie,90,80.0,10.0,10.125,3.339850003,3.339850003
548,21,user1616169200343,pie,89,100.0,11.0,11.125,3.475733431,3.475733431
557,6,user1616169581711,pie,58,60.0,2.0,2.125,1.087462841,1.087462841
570,19,user1616169581711,pie,60,55.0,5.0,5.125,2.357552005,2.357552005
572,21,user1616169581711,pie,39,30.0,9.0,9.125,3.189824559,3.189824559
573,22,user1616169581711,pie,55,50.0,5.0,5.125,2.357552005,2.357552005
579,4,user1616169803384,pie,88,0.0,88.0,88.125,6.461479447,6.461479447
585,10,user1616169803384,pie,82,88.0,6.0,6.125,2.614709844,2.614709844
597,22,user1616169803384,pie,76,75.0,1.0,1.125,0.1699250014,0.1699250014
598,23,user1616169803384,pie,19,12.0,7.0,7.125,2.832890014,2.832890014
601,2,user1616171055505,pie,45,33.0,12.0,12.125,3.599912842,3.599912842
610,11,user1616171055505,pie,44,33.0,11.0,11.125,3.475733431,3.475733431
611,12,user1616171055505,pie,88,100.0,12.0,12.125,3.599912842,3.599912842
613,14,user1616171055505,pie,78,75.0,3.0,3.125,1.64385619,1.64385619
626,3,user1616171484029,pie,17,16.0,1.0,1.125,0.1699250014,0.1699250014
627,4,user1616171484029,pie,60,55.0,5.0,5.125,2.357552005,2.357552005
632,9,user1616171484029,pie,78,80.0,2.0,2.125,1.087462841,1.087462841
635,12,user1616171484029,pie,76,80.0,4.0,4.125,2.044394119,2.044394119
649,2,user1616171638795,pie,37,40.0,3.0,3.125,1.64385619,1.64385619
654,7,user1616171638795,pie,40,30.0,10.0,10.125,3.339850003,3.339850003
668,21,user1616171638795,pie,26,10.0,16.0,16.125,4.011227255,4.011227255
669,22,user1616171638795,pie,25,20.0,5.0,5.125,2.357552005,2.357552005
673,2,user1616173020218,pie,38,33.0,5.0,5.125,2.357552005,2.357552005
679,8,user1616173020218,pie,44,45.0,1.0,1.125,0.1699250014,0.1699250014
683,12,user1616173020218,pie,76,95.0,19.0,19.125,4.257387843,4.257387843
689,18,user1616173020218,pie,96,97.0,1.0,1.125,0.1699250014,0.1699250014
696,1,user1616173095007,pie,43,40.0,3.0,3.125,1.64385619,1.64385619
699,4,user1616173095007,pie,95,90.0,5.0,5.125,2.357552005,2.357552005
712,17,user1616173095007,pie,18,15.0,3.0,3.125,1.64385619,1.64385619
713,18,user1616173095007,pie,93,90.0,3.0,3.125,1.64385619,1.64385619
722,3,user1616174032126,pie,45,25.0,20.0,20.125,4.330916878,4.330916878
725,6,user1616174032126,pie,83,15.0,68.0,68.125,6.09011242,6.09011242
729,10,user1616174032126,pie,10,20.0,10.0,10.125,3.339850003,3.339850003
743,24,user1616174032126,pie,47,3.0,44.0,44.125,5.463524373,5.463524373
746,3,user1616175660638,pie,96,95.0,1.0,1.125,0.1699250014,0.1699250014
751,8,user1616175660638,pie,61,50.0,11.0,11.125,3.475733431,3.475733431
758,15,user1616175660638,pie,48,33.0,15.0,15.125,3.918863237,3.918863237
760,17,user1616175660638,pie,97,100.0,3.0,3.125,1.64385619,1.64385619
772,5,user1616179906757,pie,48,40.0,8.0,8.125,3.022367813,3.022367813
773,6,user1616179906757,pie,48,30.0,18.0,18.125,4.17990909,4.17990909
788,21,user1616179906757,pie,79,90.0,11.0,11.125,3.475733431,3.475733431
789,22,user1616179906757,pie,36,40.0,4.0,4.125,2.044394119,2.044394119
795,4,user1616185358848,pie,35,38.0,3.0,3.125,1.64385619,1.64385619
797,6,user1616185358848,pie,64,65.0,1.0,1.125,0.1699250014,0.1699250014
804,13,user1616185358848,pie,19,20.0,1.0,1.125,0.1699250014,0.1699250014
808,17,user1616185358848,pie,90,100.0,10.0,10.125,3.339850003,3.339850003
